2-gram,*/*,2/*,3/*,4/*,5/*,6/*,7/*,8/*,9/*,2/1:2,3/1:2,3/2:3,4/1:2,4/2:3,4/3:4,5/1:2,5/2:3,5/3:4,5/4:5,6/1:2,6/2:3,6/3:4,6/4:5,6/5:6,7/1:2,7/2:3,7/3:4,7/4:5,7/5:6,7/6:7,8/1:2,8/2:3,8/3:4,8/4:5,8/5:6,8/6:7,8/7:8,9/1:2,9/2:3,9/3:4,9/4:5,9/5:6,9/6:7,9/7:8,9/8:9,*/1:2,*/2:3,*/3:4,*/4:5,*/5:6,*/6:7,*/7:8,*/8:9,*/9:10,*/-9:-8,*/-8:-7,*/-7:-6,*/-6:-5,*/-5:-4,*/-4:-3,*/-3:-2,*/-2:-1
AI,8922759716,7884922,316709232,1687873034,1325991610,1059468980,1791089042,1185100485,837329468,7884922,293794636,22914597,49403421,1627920951,10548664,41995532,484414622,787808715,11772744,16726753,404586690,211357055,422731733,4066753,22304540,335143707,550629257,282607310,594801034,5603199,45106762,210247747,198771567,367740391,180637804,175144119,7452101,5155034,55341897,190518515,116600450,301504311,107952575,59602728,653965,482699524,3272710706,1982247900,1262168105,1260206256,431358131,189267715,15240937,11180774,79222547,151824701,492171168,858241460,1831243114,1357173708,3975439275,71266799
SH,8888705288,3130341,1419321573,704530262,1662721486,1638458209,1165832981,484143457,527401788,3130341,1405602883,13718691,413620386,2783860,288126018,1431397019,13525927,12365035,205433508,1223823800,13517834,223365583,9875642,167875354,344138976,15798542,146852237,114520021,4243252,540279958,194945270,2259812,18759368,72230860,137162469,994156,57791528,101603857,2317079,43010334,13480118,79610742,221288358,2729545,63361762,5200314232,64592295,850752447,441169090,448853405,861812918,282920420,347762574,279900832,114295798,316924513,434604689,1396545534,1974796003,1734783743,1439652342,1391763980
IR,8886799025,6928808,352816450,673379661,3812534023,980466829,694528293,968674038,521425148,6928808,16253572,336562879,103454329,371546558,198378776,59241699,1263000550,273424277,2216867500,13993374,321802157,284931102,296610510,63129690,45319282,165466075,67361798,144560873,249065457,22754813,12752792,367712472,53983995,167546705,321502706,31251377,13923997,27373337,215789089,71992065,90623261,73059018,11151358,21652938,9784089,383537368,3277960589,980520930,3169372480,858727222,96691453,48356145,35428207,10430416,126558240,429858696,619520632,344516422,706032707,2145950643,1308520705,2870803648
SU,8774129155,8247113,213341336,1320299413,383733095,1164879657,1868113258,1265082830,878125145,8247113,209037438,4303899,1316918685,1100616,2280114,133059894,61851506,187613408,1208290,515612078,752648,529615851,118745957,153127,1112070213,183854505,334019374,232463248,4789639,916284,704623401,2287531,83790906,225208841,243093343,5501484,577330,564726423,1,138027219,86933953,52319991,20171744,15844087,101734,5807926162,256097256,1434980852,870447576,315354843,42449775,33797270,8267236,1619118,643844044,864083449,1327010866,878741164,753474319,2422514267,546114168,17787884
ID,8332214015,20694348,856052829,1750408608,904843127,786335118,893466059,1036628823,711091909,20694348,7629242,848423588,166254008,455327994,1128826608,157219644,217126141,192501735,337995610,17691412,285807564,129551443,202590022,150694681,7111040,53311903,96660693,309329316,368893347,58159765,122786325,48028686,199673451,198674699,368278023,65142080,34045565,33878470,27487048,61680168,127138693,298781985,97730711,46249097,18145744,678999307,1977672169,1852666668,1249678895,1749605654,584071262,141372595,35079364,32684087,153669490,347658880,232120458,801633932,1266893660,1332538557,1380648781,2609482006
OS,8176085242,9496746,69602898,1618187641,1542261320,1062014872,741038411,1350881528,536959410,9496746,3750536,65852363,4497204,1583635023,30055416,11870843,215093764,1270251993,45044723,11446670,360274807,167801927,456695139,65796333,9201122,133238291,166834634,145865547,261795184,24103638,1478189,719431934,73857796,169975955,344568926,27363318,14205416,2943597,173471010,77659056,38415564,135109424,70176662,26509636,12674468,86441518,3499539879,1915097295,1107648574,1160583031,214237922,108773853,39580270,25139151,200720775,328388059,1188881025,395308236,906944495,1006550760,3639627962,273864019
IV,8116349310,70418239,37251155,652131791,1054915890,674615958,722373371,1050313997,1066665507,70418239,6446588,30804568,7892356,627560373,16679064,6259902,938346119,107763760,2546112,784029,366266773,93579421,212410446,1575293,1058041,121239629,194698295,235922818,169324944,129649,224706,141927965,40800299,218430907,289272429,359657696,1,415319,107754351,85572368,70411426,83939312,85268552,633196747,107439,93640438,2404018236,886626502,1307404317,630492915,592863691,859767945,524326427,484947467,49623283,543299123,742560577,282847482,1283077894,1835808445,3151362974,122260358
IA,8072199472,6076328,59496247,96902603,413638010,876665477,1033594005,1364371040,1442739934,6076328,8919719,50576529,2257360,43615580,51029665,1,67752825,117760202,228124985,559237,68701978,35730459,631034031,140639776,134550,62595677,17371823,124535230,647315290,181641440,1,104801711,22289264,188520259,180917612,634608879,233233320,1,92627645,5327624,209617752,118622899,337613856,580004533,98925631,18485535,532083524,256983623,1474938397,1284580477,1932057441,1193910083,663721900,373666469,46167170,163409047,292730286,891553069,960852541,1109805823,3332870378,1225525443
AM,8032259917,236082025,84617777,1572000638,1044273655,1251082920,1399343577,1183445926,534394486,236082025,18581646,66036132,38244335,1385539277,148217028,378385651,344129827,200100326,121657854,189903505,625829009,83284354,256711044,95355012,270835279,171076186,458786656,108378651,37664025,352602785,381429142,282979150,222842786,104504717,37697575,130956356,23036206,177453085,103963098,84038693,56880619,47754562,34305298,9502684,20496454,1775304517,3015845173,1313612301,731852901,358927557,675626064,61182823,34708194,47080136,289391447,563334040,784440504,694975576,1735466659,663127039,2044560111,1104547632
FI,8024355223,5698703,234493098,1028942977,1650404932,943866926,978075333,808884788,731799469,5698703,232413166,2079933,1025238207,1300887,2403885,1638291645,563500,11138401,411389,660666014,1614824,215221321,66041874,322897,511625122,651424,214913874,122712623,127706094,466201,200453725,1,250775477,69115879,135466083,153073628,1,176436588,1,96482224,190405676,32903007,230377097,5194882,1,4499526606,6386741,1041490018,830712698,475942683,820878058,202709402,127393495,15632198,380755647,680719062,968831473,1339257618,2003412781,1864171346,672976605,11383003
CI,7936922443,7634495,71086752,348092265,209767756,694096287,1383739295,1255626534,1229823588,7634495,49012401,22074352,256555729,85117773,6418765,151722156,24251734,29145425,4648444,139144173,5597147,511270884,35096753,2987334,95663150,145842270,488159490,488205290,164560662,1308438,107534035,43243678,285757872,235743547,536539185,44941842,1866381,40597863,11014041,222766620,164150608,453234338,331700146,5917820,442159,1069842265,439043445,1772266610,1186567182,1988296299,834226817,387439508,162707812,60500459,299897714,454704973,751227128,1381272872,1645404950,2584960351,421963780,49732856
VI,7600241899,43394598,108239793,395796508,557493878,1369458094,1372140902,1506319192,820902431,43394598,96489457,11750337,315098600,69230366,11467544,273242701,20371823,261258693,2620664,288702841,2825846,1028025171,49417703,486537,383776339,47213233,324993946,606631960,9060002,465427,251979053,167919222,212168635,547568725,324203109,2480453,1,128705556,32348069,156477119,198779800,83212478,213856030,7523385,1,1858771674,354246675,2250247172,1666718073,921060018,351102431,74356304,49952450,57698356,243852286,375967873,1047099798,1186600952,1306203539,2661740584,505350252,70185102
PL,7415349107,7390288,10812604,354970511,943868244,1806792775,1238369041,997670496,648263452,7390288,7831637,2980968,347101615,2038595,5830303,784823610,21848562,134261838,2934237,546931397,16875289,47401563,1195584529,1,284008198,5767349,341944377,266249330,340399791,1,259787054,23191399,287465135,287306241,81287334,58633338,1,96186250,12917448,251652579,141584812,31135203,19160946,95626220,1,2398706789,90410679,1640226337,2259987708,509513158,259581545,230397967,7723398,3558914,383248756,554857479,867289461,1033474023,1558287260,879688325,1849079945,19135793
IG,7189051324,2416443,284867939,488280595,1589016752,1408449338,810866878,877384991,594605279,2416443,6773931,278094009,2020666,474194642,12065289,695088,1522688241,57669501,7963925,14847726,875481516,362595795,147599784,7924521,26316500,357202413,109640939,145360825,165659473,6686733,27011750,162107391,237751612,257979959,123180106,69354178,1,19075557,143451697,74003056,230965589,27242310,77982205,20856309,1028563,100644933,4103880144,1028442194,1054369471,442731537,195244958,247152799,10696124,3970280,153759014,390261171,496378208,994463597,1338065651,2255647148,942428996,317307564
TU,7187510086,5332408,16457057,214993813,423887600,1168971571,1400415856,1069450691,993193336,5332408,13489035,2968023,203807907,4023256,7162652,104415380,292341606,23877471,3253146,228756955,50385863,728539675,160715039,574043,107469955,309577924,234414047,712114775,36016188,822972,29589637,190276308,250761170,399517853,165631592,32792708,881429,16206089,9673075,241574091,128837924,92437688,472422224,31026112,1016140,732031872,867993172,1572965903,1501554713,383863209,1052805471,470623261,449497500,131717930,57146260,298666465,713134746,1319319644,1310834178,3099063057,316034750,22010806
EV,7184041788,3989338,36103377,963725635,1250434072,568557785,1595935700,968061312,520545676,3989338,17647931,18455447,942375047,17717360,3633230,490591808,743506990,15843352,491925,118404766,382187273,50340293,17625456,1,136988777,619709512,92163921,560145291,186189102,739102,270308003,209048050,123216657,50401996,304615407,7181353,3289852,117698702,211632085,76958679,20299230,61528847,27671886,1087089,3669165,2392475328,2846206555,515799754,721198412,611751256,55019943,29874167,7096925,4253258,298866049,663901061,507645954,897619746,1098217729,2642698424,264095782,37325791
LD,7122648227,2303673,389614554,784846439,3488435367,1172117663,213408681,683457680,228447818,2303673,3636571,385977984,1456935,6487541,776901965,1,77226261,52416359,3358792749,1,31339714,127702775,97758686,915316491,1,18822732,123812744,41100715,12211527,17460967,1,6949929,86735693,494294911,38165217,13930902,43381033,1,2997306,12653902,92263650,33622507,223305,5299948,81387206,7397177,532162542,1199809913,4093510346,1009154130,39637344,59216242,135642539,28059000,4452152,22832037,31229034,204704989,726030380,299298276,212547388,5618711085
RY,6985436187,2311722,179044423,913204102,1037926243,595107850,1549700252,1011765414,824555279,2311722,3649523,175394901,6443551,3110928,903649625,2036077,16442228,3062811,1016385130,406614,105083215,4242308,9186179,476189538,1102167,25225355,30273828,6812989,2245704,1484040214,224266,13727678,15913279,128152709,1807554,358793,851581141,1,1168655,3955166,32390815,3663235,1,1,783377412,16173914,367223254,967009339,1331861109,486756435,1505601493,854961241,788843025,253135493,5123738,9946519,153711219,89238441,279795794,36911957,22596959,6358088923
MP,6743935009,3982456,15530167,134165489,151756515,642473850,1235856123,1155374911,1098403147,3982456,7964819,7565349,1296655,2188974,130679862,1,61478685,57600919,32676913,1,178129459,423916772,36737837,3689785,1,248549333,532235521,351499016,102768428,803829,1,342179315,617018946,134698759,48428186,12662511,387199,1,570752329,441646816,29521589,50909809,2953842,1325330,1293438,13243928,2116445340,3304240766,645751200,482131786,154630914,17528244,8131733,1432638,878026754,1133231028,938408513,1054962063,903320859,892106442,221507142,181078824
FE,6670566519,10661070,380777397,1399841793,311490197,796644416,831089429,739106092,1129376358,10661070,378830151,1947247,619755770,408475,779677550,161596759,1,125019219,24874221,188601810,246045,463429863,134115413,10251289,353326438,555680,345637872,108342743,20152771,3073930,302506155,781036,288689858,48891683,21197551,66503116,10536699,54756961,1,417187898,600865961,10676105,36557166,1466917,7865356,2145874402,3938479,2607253262,1524189127,118887968,225787551,22708247,17557084,2009381,212065032,579134349,1125465070,1154274281,578017619,1254630804,729803252,849329591
BL,6581097937,3631302,4265092,307790098,885460347,804943644,695480172,1329035782,770179896,3631302,2605818,1659275,119859591,184872851,3057658,541417125,630484,343279663,133078,97478674,7988844,425475705,273776669,223756,106056446,31454900,37759379,285050759,235158692,1,79283509,7421219,39765947,216245371,94241735,892078006,1,53221810,8188740,142984760,8766544,73441831,90338278,392991118,246822,1035693566,292965482,1154284301,795127683,661216990,1022744655,415056059,585857848,269510299,174978539,175963475,418874698,219680007,903772117,1039163416,3517702293,8951886
AB,6479202254,11639056,49618409,300448328,1897227267,503781763,509152107,709640623,761999584,11639056,22567971,27050439,199102098,58579153,42767079,1398769197,475346897,19087452,4023724,112023032,219355825,160630442,3094875,8677593,207386372,105210909,65540267,127002326,3404740,607498,176105959,53736354,38230871,42686197,397924440,956807,1,113481996,25787737,94122273,77209099,86786264,363980136,632085,1,2385772258,1048597625,462603626,580708229,615493842,427635000,466340917,191594544,208817567,267321579,386429434,568445221,342278343,1836650759,2630430838,108323077,94765384
GH,6414827752,1754666,3094902,408354537,1598700586,1490358879,1459731483,758995552,233628340,1754666,2120442,974461,976819,550178,406827542,20902182,1,1479672597,98125809,9856719,887563,479044166,483602096,516968339,4915513,1,142973889,106207595,549711547,655922943,1050723,1,94768138,198380420,79539180,93484267,291772829,128442,1,48594009,67638711,27825167,3666191,67567177,18208649,42149386,2412200,2721484937,1046388068,1224484353,874374149,432576304,37941696,18960750,55478427,60872177,109550693,202004275,508489250,728503366,2699369322,2011194299
TY,6408447995,2519006,4142760,541711063,704886192,727131635,1076060444,1068792134,831589751,2519006,913716,3229045,204813106,269421,336628538,118816524,80073560,2451787,503544324,13600408,19554813,362882,6691665,686921871,67399286,3654248,1566294,5117031,605560,997718030,9216245,4276863,667757,4852188,5789042,138987,1043851058,29782131,4974960,669433,4682756,8775992,17075710,176169,765452607,459405574,118325372,343848833,530152136,707630382,1026206749,1056486248,766206119,592774832,30577267,16545725,78170247,29651886,169217488,316573033,11391342,5739498343
OP,6313536755,33898061,136163735,603216973,300909131,1272336171,771660167,798368272,506597835,33898061,6157249,130006487,191318813,226152841,185745321,47271051,97024725,143745976,12867382,130384338,129435473,796034354,167761165,48720845,295410518,127259937,229433552,16741896,24937232,77877037,179740559,27192912,397982735,125801820,18337830,31828358,17484064,198533364,44735828,62075298,30561356,10690944,140267524,17700454,2033074,1374677379,1005752321,2151545608,405164087,305664958,730140593,225014450,56689913,27024820,540996245,473011014,586301911,1057413267,656508644,1381249804,646923293,522726649
WO,6252724051,4000634,1080199806,962039844,3069689373,236075980,462688442,146783568,184688981,4000634,45745541,1034454266,960533234,1506611,1,3035095092,34313528,280755,1,227965706,5306759,2484282,319236,1,375204354,10485210,1607114,75093962,1,297806,72994914,970864,7557766,28752228,36400828,1,106973,95002002,1368545,2842090,1391550,14914680,68542294,106044,521783,4863781189,1088789620,16004557,109436903,61772729,93002739,12830318,4018941,2977300,95002002,75501978,386595142,260939026,3113105708,1184740586,47958183,1039491221
SA,6147356937,13563837,691930136,1898312334,454578151,636585350,434025611,501666207,659550486,13563837,656407778,35522359,1856966527,7879714,33466095,316617441,38379881,75365844,24214988,462821021,21062152,64428303,68593274,19680604,202835910,2813884,27808565,155890863,33216380,11460014,149835468,6440303,56852446,84326428,127122230,71918125,5171213,167096332,973502,28231373,55439952,77145057,258290599,70002489,2371189,3995420032,113195903,454692769,447192679,331922872,436776319,284443043,44336444,23450452,213418791,224156630,306341750,806997158,601384255,2553656403,990481060,147359804
AY,6128842728,4746045,2973688320,1096371097,427665258,824686657,413407506,240889376,107540011,4746045,3968322,2969719999,2135142,548708775,545527182,2956636,142605110,49780796,232322719,986178,191128338,142464757,335732985,154374403,374838,97367722,104950911,28232599,12046827,170434614,921178,46744482,4488888,19038884,21072026,61005319,87618605,1094805,4806957,4269695,9703610,7972285,34525798,6927526,38239342,17345362,4004101281,861173905,626104716,196608141,276717285,98747220,39560788,5053324,6291105,12254646,52254021,114274266,337593803,373805042,1020639964,4210205908
EX,6035335808,31170142,81475612,356652768,311273424,680408530,1121156408,932885600,1060122918,31170142,10220081,71255532,20789011,320690160,15173599,158786930,76192023,414329,75880145,520096099,115548002,9777417,450260,34536756,882787078,56365916,8759931,12810698,70521036,89911754,860356868,29444723,17159490,4321892,19439341,1048707,1114585,971202651,27067732,36697021,565260,9709538,10510715,1315088,3054920,4765671651,699886729,159677015,103064790,145172763,145495078,4718699,11020711,526790,998993864,925665053,959105062,604640270,335737987,150426990,404836686,322501880
KE,6027536040,2239953,99700586,2112995973,1058895101,1420159731,624859726,355310608,151435556,2239953,95745318,3955269,295876808,1413945,1815705222,60464113,1858257,766631774,229940960,49839188,16425560,150220807,1078581090,125093090,91205553,3112296,7637534,262001105,214589675,46313568,28985552,24219240,43011401,58282949,71610725,117663059,11537688,5076372,6606521,6125386,68557619,13671482,7500844,24810387,19086952,635247657,61459512,2802935264,1752809328,454306050,182240886,42056159,59999378,28758747,15995375,87098074,154409906,179783773,158690390,802974554,2350548219,2268979602
FR,6011200186,7734185,17915816,3707714978,367125885,645214927,407700292,261393282,267205451,7734185,14489933,3425884,3704380425,3175954,158601,362185317,316254,4624316,1,524378634,103388107,16237574,1210615,1,320340091,62916600,11498818,12944786,1,1,222369752,7988540,7526472,16424194,7084328,1,1,240858100,2436549,8172876,5319492,7035824,3382615,1,1,5621876736,185346558,105690992,68663200,19787969,9500156,216570,118012,1,247969880,256645755,349925142,604158021,504941966,3744345977,23500815,11318668
OO,5928601046,4084615,409436100,2364486480,1015076438,818892223,461096826,253277450,258846028,4084615,4906983,404529118,1472638,2361914777,1099067,948188,572632719,437371701,4123833,1766181,304175182,198880200,304052429,10018235,1435882,240082769,31510660,109774217,77449816,843487,1,83092594,62391872,6665009,16262582,80710625,4154773,184927,61949287,10859498,11779304,1250355,20260885,151748215,813564,14976863,4151710495,755343854,448953213,111154003,116814047,170556177,111141500,9008034,37330711,69727350,99546077,326535224,354763514,945024041,3559941926,429787419
AV,5778409729,6360512,16100985,3114595882,615921016,677776262,455745768,296926659,354424933,6360512,10789991,5310995,13722071,3098807881,2065932,82050744,261134964,271541211,1194100,35214020,389529471,235700697,14772371,2559707,147437347,85418467,192770249,20117361,10002348,1,38044676,72474056,36613498,117657640,24972878,4135785,3028132,164484655,57082571,43249739,57156414,21619680,3583851,7004801,243229,516056081,4018180131,824974498,259618152,108659818,16069354,22313216,11762043,610800,229181007,142542582,316211830,232787271,815467548,571285519,3418760257,20869452
AG,5772552145,5496171,332290974,308554294,882623350,576401967,1360914830,798433526,583420037,5496171,286441663,45849312,73047006,200242084,35265206,449540709,203965277,228414272,703095,175941949,74713240,174914389,142424799,8407594,423905503,59003748,131987344,176996458,566935869,2085913,56513121,85967409,66314219,78676859,127832270,383129653,1,127025430,64135501,92745416,42355486,31328560,91495410,132414687,1919554,1773675374,787011014,844306887,658915205,792759858,515106096,264291842,96870974,15244378,220248856,185139707,837812139,390532371,816728080,966102501,2022617088,100083222
IF,5731148471,1564986693,9297561,785769187,220495443,148432832,294135561,390058647,906555329,1564986693,5078221,4219341,520427,783727940,1520822,130553,118080639,95398703,6885551,1,63633323,27836630,53915027,3047855,1,73207324,85187646,50919798,84820796,1,1,36350319,38826730,90618947,164412967,59744814,104875,1,558734902,18118544,28304107,188402845,78564055,34216803,214079,1570715891,2022030214,281913503,440883320,870852217,354596411,169699601,13062948,4602173,432102632,675798236,329099762,226762668,557180148,524122384,1121543718,1580979210
AP,5719570728,7962933,147598571,197999504,704405172,520693114,1403227286,857728287,490263035,7962933,35860363,111738209,18600441,99227385,80171680,217417744,354228551,110362873,22396007,188688130,174894182,103986980,47134377,5989449,281496023,426362777,393207713,51462903,241817383,8880492,426333228,287761908,83249070,35413729,17239370,3795102,3935886,174706241,80449048,24988954,42291546,39322259,59984216,67783714,737064,2084578155,1642460111,856436831,313944089,346797123,160121572,133445006,96148894,36374429,295447495,573445539,663314433,791456294,964800588,717853395,644405567,241947079
GR,5548472399,4078052,5295768,199984160,1540766380,870927136,831498857,602982644,474809330,4078052,2616903,2678866,195974402,3454052,555708,1442595108,43791360,53079472,1300443,651361908,65669416,137409223,15982979,503614,574242694,2249572,73986054,179004663,2015878,1,242023083,11929790,28137849,285971513,33829048,649820,441547,148173017,93112395,61137364,72865544,90900724,8620291,1,1,3387063487,343293623,472913034,759571858,348013999,148725631,42625897,24974404,10981391,267463112,510476181,830531160,979541446,1997032806,603371657,78792045,10163930
OD,5511014958,2558390,425420376,1240770266,778743735,909056282,534368098,512385439,286640846,2558390,22267711,403152666,20543573,461502411,758724284,8593452,365671034,155605572,248873680,5564109,386303978,47584827,60581182,409022190,3384148,67600218,216368860,19441174,204385616,23188087,2935222,84292108,292368834,39275591,47353469,28114041,18046180,1,41516059,60422680,14834087,66407763,4124236,34541374,64794653,66384505,1873237952,1765261987,406653834,1007959909,85325115,96504004,68748830,94182058,53372213,377422420,222046076,485550739,744231577,513778569,978341635,2057752840
BO,5509918153,7653226,203403435,1446640837,2016130770,649723230,273061025,289285971,239393165,7653226,200670374,2733062,1441275409,1379531,3985899,532257925,1336201075,140531758,7140015,413232237,12264443,125630259,96690502,1905793,150783035,7137260,24889856,69046997,15632925,5570957,106163918,13592499,33801100,50975451,73012300,11740708,1,63637581,19779616,19082999,44551665,37673558,52632594,1674038,361121,2982830353,1412222705,424235048,309553181,167776659,186128037,13801983,4340672,8107855,101477061,213762737,243558566,544918880,691524835,3109337426,472323519,29460211
SP,5392724234,10206295,28804024,93330934,674440210,682251372,971274465,796746625,617880174,10206295,16198267,12605758,82442088,1865500,9023348,649565855,1893725,3812758,19167875,590490221,49269137,39630509,2644206,217303,547277202,71584102,332895667,19234821,123220,159458,414279599,13549014,321788500,43604744,3524772,1,1,238723467,8422837,227489597,90674682,49687077,2882519,1,1,2795524192,346891969,1436908397,366164306,253650900,178690110,6732959,5633069,1582986,672018614,738512196,920631793,1204832592,1150672015,149608429,24643947,51380032
RD,5338083784,4986256,5734321,640395493,1232025238,970424404,753090189,694407164,599099087,4986256,1502808,4231514,479939,3166607,636748949,145662,364841598,367682218,499355763,1,68670820,276552488,66656753,558544346,1,60354984,110830870,34080747,251673021,296150571,1,84293624,98622949,30018195,184194354,33954718,263323329,1,15492967,47852546,9583078,298175246,52100450,100878569,75016237,7114662,624281908,1566876603,688639823,1430567676,420075025,423458643,140082004,15075231,58770602,58021318,227672106,248766758,543643634,923700143,879650871,2370438426
DO,5307591561,1116608184,105095377,1308416942,402616011,734487999,555300475,454834698,300576765,1116608184,101461409,3633969,1282216585,9358414,16841945,327067363,34555609,28410893,12582149,264168969,10408437,21258871,420737896,17913830,157400902,62253004,36145658,98811364,178521139,22168413,280926661,34455282,20249334,24327134,32877578,34862704,27136011,140664094,4496001,42996004,14353802,43576618,38905214,12347372,3237667,3742193240,185970368,229573079,610728874,302955852,129297911,65294188,33759455,5771447,205767025,317622326,262308682,391294246,455105267,1535518886,809928796,1221047799
UC,5291161135,1165218,7544979,1766545868,155878605,185560110,706775740,415929777,718378899,1165218,2850083,4694897,1490801,1763720938,1334131,1,45975762,109230848,671997,240072,59529136,18294293,107264858,231755,129464,225598857,83541738,138049700,259343586,112400,1,29472627,62790291,41476301,262312331,19878231,1,1,71597860,234194929,250443216,113101895,3692801,45348203,1,5875634,2374193694,603578613,695133390,900178981,231295990,411948201,9529458,54238791,226435761,143305018,464856321,1127827023,379062640,562759238,2316533605,8423888
BU,5214802739,1980111,2874485171,157219516,297174760,368270827,236706450,544335006,177469789,1980111,2869310302,5174870,154509697,827988,1881833,256192415,28690893,12167778,123677,321692668,12667048,26664826,6889105,357184,154050182,5156020,32825212,37688214,6986826,1,453548836,16714747,18268123,21061044,20041391,14700870,1,77922802,14697894,9402844,19320855,19997379,35553277,574744,1,4360852265,88891699,116481909,109167944,69365971,120065880,326443622,7397357,11592095,91094701,492281131,240205537,552924779,471934962,370507943,2911585056,9517671
EI,5169898490,2899132,32038200,75474169,3004911567,600570048,575206046,363934208,208046556,2899132,10517153,21521048,8545374,63952524,2976273,93093515,740955220,2168475405,2387430,264103098,222603875,74785002,22609771,16468306,2931356,207279684,18034633,258317469,87683416,959493,26404586,58492711,6793153,187769608,66960896,17193126,320134,1831880,52441761,6147580,43651688,65291602,25188471,13493580,1,445202641,1496850807,2282110957,537185563,268178000,66036333,29123339,18032335,12581888,50510141,92499724,94302889,553835090,602462555,1195448650,2408846242,47658454
OV,5021440161,986812,9226250,1059781023,675438247,414067008,555457170,975319226,376708726,986812,1779742,7446509,733279871,324736355,1764799,13360892,310833982,349405323,1838053,5163173,246788715,107792071,48515738,5807315,66526547,130726637,163476072,139460281,48252196,7015442,104452304,349683945,268196307,50743161,195434893,3753431,3055191,48265670,107447119,118017030,27511318,62791436,10349759,916205,1410196,1072003807,1960169555,1111694134,317801079,457991635,64525948,17069190,11321819,7877707,485996580,340992980,631233165,517713293,544018691,1509952856,778629958,30280939
BY,4975814760,4703106085,6469631,55437461,52816455,45720125,64889117,6906710,17589374,4703106085,6353448,116184,5562247,1,49875215,13100141,2779853,4353448,32583016,7484800,302584,1299712,128395,36504638,520127,966788,4632577,1,3340579,55429050,1148342,1,230861,3474540,374362,1,1678609,8802018,1144035,3876041,1270856,1105026,1,505372,886032,4748221679,6120051,69379326,38480785,53505517,55429050,2183980,886032,1608348,12611053,12673890,5540858,12559810,22614864,10016171,14681238,4881787169
RM,4938158021,3297943,56308994,914685357,516372401,786525763,511278897,414450875,494264267,3297943,2233343,54075652,134413,206564446,707986500,1,38806410,419950572,57615421,1,27992490,666095573,23022191,69415512,1,6839816,334474209,44677331,26299647,98987898,1,14720776,166535355,53048320,129053275,21106226,29986928,1,14257971,210475166,5675799,122949388,115936901,8219068,16749980,5665697,364224950,2727132643,230703636,968538712,432623924,93154393,98010036,15198585,138287966,203865217,677164084,418955634,646734645,1029744898,714339381,1044482060
EP,4837800988,3142393,20192103,471716830,312070565,632509806,529397812,735852933,647145078,3142393,8967868,11224236,8639209,115778000,347299623,11199457,92883783,110426369,97560959,3059619,320978828,65525298,228561923,14384142,31158172,265688796,136194926,16322547,79767340,266036,32567056,421752245,107939249,115432845,54590754,1441091,2129699,26422555,423129645,38761021,141520275,6135695,1937987,8805881,432026,161847305,2495288109,894701461,868449768,319573757,29172571,39667472,22009068,3518988,607630994,587645470,626257905,631246877,608772588,247408015,554456804,476439107
TT,4812693688,4219464,8059170,53084682,136102992,1706163871,1133025201,550689132,702873917,4219464,2547296,5511875,464185,11316606,41303893,1,18355865,78344311,39402818,1,128349252,1508268031,56657779,12888812,1,160663161,666447726,225285660,23562896,57065762,1,241164001,152755139,55994225,57092430,30519776,13163566,1,284856231,52249109,45869614,26924682,256503076,33465564,3005647,7230943,1030258570,2620908908,466861095,140063499,390977839,65053815,52970582,9887575,183038912,377664322,333294517,377086428,938214248,2113015835,269664882,179961211
OC,4692062396,2468127,48179015,132783630,671036140,649320794,853556539,567834529,637640978,2468127,8843654,39335362,1379384,109939893,21464355,115630629,351579043,197558641,6267830,90271764,496896619,54717536,6087777,1347102,84965657,381857521,347610675,7794459,31166869,161363,156145305,222453866,65942175,90657563,23883334,8752291,1,63138188,189920570,215701535,132522137,18350041,1877270,15420673,710571,669501194,1921050144,1152801225,638532489,158349368,62637794,59262983,18274550,5518416,240411728,654197538,788359428,719316470,1099185383,456155566,379727868,71867867
FA,4624241032,5712247,360981318,885786240,523519031,989678267,900835693,345184954,186382850,5712247,356933409,4047910,876512310,2837604,6436328,518596601,316245,1928197,2677991,924182961,1,60364755,4591635,538919,523259860,1,116746161,245735789,11790509,3303378,267434439,1,25346460,30648679,20709603,1045777,1,109973494,1,13486103,8231133,9493675,44954379,244071,1,3740840885,7201757,258970396,298887670,155584925,145497012,2512862,7083861,7533624,177461535,323222688,638755738,980542703,684262987,1251744526,379494417,22716768
EF,4588497003,3413775,12111970,339392267,234863916,1357566163,787532765,393694677,788796972,3413775,1958142,10153829,594491,318891327,19906451,1875822,42758609,15402560,174826928,305704853,826147660,106843764,18799075,100070815,210220211,368188618,24293467,155992267,27973879,864328,31330489,231086400,8050622,66666969,48639823,1,7920379,133783899,269435302,35126164,77484861,268918108,210801,1235711,2602133,796366905,2397964533,322507959,555455897,474948966,10714135,14946884,10522222,1,431222452,365954553,511857593,787212736,1190129093,364258795,385321668,323767161
CU,4585165907,6475951,150021115,90461729,286304984,312881478,674815557,737372740,676975457,6475951,148187674,1833442,88502395,1471830,487506,96813101,33938721,155553164,1,116351253,8914861,154540305,33075062,1,392897141,7698807,134558583,133927866,5561061,172104,209611902,5676226,367184595,116762333,27179409,10958280,1,113174900,14906192,118840128,220968686,63804702,139899598,4912494,468764,1278128874,84974671,1184257552,976309597,259642966,702584624,40482278,11858177,30247329,224521747,588665335,964451832,798594155,773518708,579551735,379277177,9437763
