1-gram,*/*,1/*,2/*,3/*,4/*,5/*,6/*,7/*,8/*,9/*,1/1:1,2/1:1,2/2:2,3/1:1,3/2:2,3/3:3,4/1:1,4/2:2,4/3:3,4/4:4,5/1:1,5/2:2,5/3:3,5/4:4,5/5:5,6/1:1,6/2:2,6/3:3,6/4:4,6/5:5,6/6:6,7/1:1,7/2:2,7/3:3,7/4:4,7/5:5,7/6:6,7/7:7,8/1:1,8/2:2,8/3:3,8/4:4,8/5:5,8/6:6,8/7:7,8/8:8,9/1:1,9/2:2,9/3:3,9/4:4,9/5:5,9/6:6,9/7:7,9/8:8,9/9:9,*/1:1,*/2:2,*/3:3,*/4:4,*/5:5,*/6:6,*/7:7,*/8:8,*/9:9,*/-9:-9,*/-8:-8,*/-7:-7,*/-6:-6,*/-5:-5,*/-4:-4,*/-3:-3,*/-2:-2,*/-1:-1
G,66615316233,67743310,454504989,2001206627,4204600580,9651177723,10165691731,12667092752,9259749375,7390206858,67743310,369265258,85239732,1119586479,344870776,536749374,2032480013,117710436,918968397,1135441737,2929365703,485736133,2573953944,1238811164,2423310783,1720141425,202402979,1751118591,1893640756,1867432008,2730955977,1729413331,453955467,1342215976,1156965760,1380127496,1767343793,4837070935,700190048,103237517,968983100,1268690889,751551353,730597905,1307809017,3428689553,607447935,152882137,844056149,596295272,585440276,304609810,358117851,702203943,3239153493,12211759681,2128894867,10288813247,8012007280,8098066785,6329697745,7181571727,4747645759,3806638294,1254786617,1706627967,3564644031,4830769000,7191820285,6996642054,8607052616,8994762581,21863087191
W,59712390261,47618977,2129400591,13426920564,17981582918,11924398315,4341498075,5423593404,1744305243,1657116034,47618977,2101934941,27465651,8303235108,1593301308,3530384150,15366383331,318716613,909162719,1387320258,9416630099,438720643,769525585,994337772,305184220,1838292071,284979416,922817158,588722903,112685509,594001023,2542873951,109149595,786091944,1396968120,234803998,257528244,96177558,566205461,106554696,196633089,179704639,384776205,212402528,35460470,62568162,330527300,116207557,100403311,246053598,160520536,597317597,20076265,36017837,49992041,40889321959,3024463824,7294919110,4846077663,1285323906,1882779726,210957483,149323241,101803697,362240862,765695202,2837826023,2489315840,10979159012,19164492713,10497919211,6069057612,6107388377
Y,59331661973,79536359,5880657816,7685821168,9841250640,5647179113,6629192990,6537023279,5541014119,3993367718,79536359,53117991,5827539826,2765577481,123615160,4796628529,1500363514,473288374,673882724,7193716031,961434348,347923733,419525629,113411373,3804884034,108044853,683243898,688349945,216670484,394649010,4538234805,65790904,393823107,284320064,226774471,107680352,89405190,5369229197,90903053,307114657,406459170,51408521,472338235,203674117,86944306,3922172067,32466363,214614444,78777299,61604322,121005060,184820739,96525548,20291596,3183262355,5677068231,8739213638,7656230748,7950385149,5091635770,5198361837,5756949841,4064220334,3235239855,253742226,471355313,563758499,1185089926,2273456353,3640621639,4317818672,1561301364,44647307751
B,52905544694,239260174,9661487258,4031790530,5732507129,6707242626,6432331334,6424370019,4916671883,3178925417,239260174,9592112715,69374544,3642923342,92749579,296117611,4974899081,285546415,271146536,200915100,4064044531,1410033100,856495258,320501196,56168545,3692693772,310484488,1083707425,1244423464,71082016,29940174,3637299816,425368630,803109682,989962625,468258907,84025252,16345113,1622555365,448769941,459051887,688566451,389105198,1243106700,62657003,2859345,834684909,314392702,492522054,312500877,227502361,308929372,673300898,12003071,3089181,32978416404,3744130417,5155518342,4065054333,1872548677,2271485553,1302058169,715038211,420780025,1365091413,2677535341,5043233954,5753297573,6432770075,9347597618,9665937774,10510098902,914823057
V,37532682261,108064401,235434714,500717526,7161183780,4703766435,3908088151,5187807794,5049904600,3428901474,108064401,95686258,139748457,356911090,63141915,80664523,1335592000,1708494645,4083567860,33529278,885569887,600682134,2269940471,940421189,7152758,988858497,162510252,1492747583,903294515,350143814,10533495,1010242132,353665952,1193812221,1107149176,983514653,530557248,8866418,641605595,414388038,1132046114,781253504,471961953,1193835393,405254299,9559711,377382722,330864343,780873390,486909835,191968382,384953937,228213680,642305167,5430026,6129410534,4184391370,12847003492,5248570002,2760283159,2807662263,967833226,1192588823,558628874,1416391421,1967200275,3295223465,3927010405,3497702227,5867653899,8098833667,8151862853,407828701
K,19261229434,60478291,118192227,353294272,7018328808,4035827628,2733923812,2126254105,1307714070,806331191,60478291,69160012,49032216,163952576,48423607,140918091,1470848056,93245813,1850107020,3604127922,608928477,71008958,808998660,1065875649,1481015888,273044381,78969790,576217509,1180552414,464008035,161131688,353787501,45223869,80897078,1020850314,323379090,119168802,182947457,112664174,43950530,93322571,263575530,453382498,128171686,82887413,129759675,229283959,12687120,15754441,162966015,134033742,44454459,26861759,51600643,128689061,3390029633,452510401,3642839922,7477137405,2948667700,523776561,319889201,258710112,193480654,273830378,221574469,552828401,627539593,1240904932,3699922023,2784783121,3797526080,5966068065
X,8369138755,137589572,127186076,613374413,541815908,708314074,947991669,1412684714,1097322133,1161852072,137589572,48215871,78970206,64605823,28558785,520209807,42087697,87330283,336325649,76072282,25970173,198861617,363195966,7190954,113095368,10052512,618858371,187262458,20046781,5115637,106655915,2210007,889519869,249915887,41904544,30304453,75036207,123793753,2580429,867848337,92748506,27313745,18549281,28115578,1048707,59117557,550357,986452112,74131876,47872604,6609429,15964457,17403675,5795870,7071700,335403586,5070234983,1847866934,294689098,206194870,316649314,195668932,76717514,19045958,624135641,1091092329,994799506,1081235545,946205754,548870759,618841398,507702282,1228057067
J,5657910831,101980526,100759487,279277768,1293147319,817010104,676151379,1050408853,629164219,340539828,101980526,57653690,43105798,264613825,3466820,11197125,1274678904,3045463,13373221,2049734,590277788,2854024,215289895,7482587,1105814,442643115,2009251,210977017,15091458,4382968,1047575,553698821,3632812,169614622,316103201,3300750,3323158,735495,279284114,2553996,197038688,141882286,2633654,1635050,4136437,1,120387912,1285672,158523432,51477821,5679571,1609628,1306499,269300,1,3801073431,64049599,1105009435,642400965,20293954,12231134,7562515,3753011,1295753,157788009,410091480,779865829,697492969,910097283,1810861251,506408266,94088174,161332558
Q,4292916950,29196764,40839288,103241971,55045994,503636131,344151061,666089589,932682735,609826569,29196764,10936032,29903257,71861146,11956413,19424414,39534407,2270056,957666,12283868,379372123,114165006,4602283,4239406,1257317,110518703,109386988,54615551,68632163,1,997660,305046054,102125400,185136776,50174946,23606417,1,1,322303733,126852970,333975791,120222282,8376629,20777811,1,173525,222787154,116798627,94225971,90671476,15668391,12512317,57162639,1,1,1647734498,705944719,887396603,508007090,87971966,310551741,118614762,12215794,10690983,342885588,524009337,788049967,695622998,906601973,339231521,271181163,28089514,93340458
Z,3205398167,25401801,37052908,66757163,371943799,258216372,289731223,345010574,326524393,367523939,25401801,19545848,17507061,29984843,4375449,32396873,127156927,9888270,188760837,46137768,29824513,16603503,89726968,82597764,39463628,29161159,5074337,74572580,109804913,45852745,25265494,39581597,5644519,63165214,73891692,68134072,70489867,24103619,14697865,1104619,17124862,33305009,105977606,96046581,43470242,14797616,10934040,706431,25776184,51494599,30322430,35070244,113492005,85097134,14630880,336016173,70187773,499816414,416263363,361592674,263470904,494727876,392984532,183661563,22202615,62285061,172584303,515904771,176830486,542329249,867081799,582769974,241774734
****,3.56351E+12,22301223839,2.62588E+11,4.57705E+11,4.39953E+11,3.97947E+11,3.74347E+11,4.13369E+11,3.53658E+11,2.97062E+11,22301223839,1.31294E+11,1.31294E+11,1.52568E+11,1.52568E+11,1.52568E+11,1.09988E+11,1.09988E+11,1.09988E+11,1.09988E+11,79589323545,79589323545,79589323545,79589323545,79589323545,62391205436,62391205436,62391205436,62391205436,62391205436,62391205436,59052661230,59052661230,59052661230,59052661230,59052661230,59052661230,59052661230,44207287905,44207287905,44207287905,44207287905,44207287905,44207287905,44207287905,44207287905,33006926772,33006926772,33006926772,33006926772,33006926772,33006926772,33006926772,33006926772,33006926772,7.43843E+11,7.21542E+11,5.90248E+11,4.37679E+11,3.27691E+11,2.48102E+11,1.85711E+11,1.26658E+11,82450653222,82450653222,1.26658E+11,1.85711E+11,2.48102E+11,3.27691E+11,4.37679E+11,5.90248E+11,7.21542E+11,7.43843E+11
